"Cust_id","Freq","Monetary","Recency","Inter_purchase_interval","weekday_spend","weekend_spend","weekday_visits","weekend_visits","Age_band"
1069,2,187,31,0,187,0,2,0,">65 "
1113,11,2413,17,1,624,1789,6,5,">65 "
1359,3,602,10,0,602,0,3,0,">65 "
1823,11,5620,38,0,5620,0,11,0,">65 "
2189,37,29772,12,0,0,29772,0,37,">65 "
3667,3,4279,6,0,4279,0,3,0,">65 "
4381,11,967,26,0,0,967,0,11,"35-39 "
4947,36,3891,4,0,0,3891,0,36,">65 "
5517,36,2377,5,0,0,2377,0,36,"50-54 "
6668,17,3706,11,1,0,3706,0,17,"35-39 "
7795,24,5397,15,0,5397,0,24,0,"35-39 "
10801,34,3217,10,1,3128,89,33,1,"35-39 "
11235,9,1331,22,1,1331,0,9,0,">65 "
11853,7,1555,13,0,1555,0,7,0,"30-34 "
11914,14,2447,3,1,1572,875,10,4,"35-39 "
12249,9,1422,11,0,0,1422,0,9,">65 "
13697,20,3217,3,0,3217,0,20,0,"50-54 "
15424,1,5394,16,0,5394,0,1,0,"35-39 "
16049,10,794,37,0,794,0,10,0,"30-34 "
16766,7,562,12,3,0,562,0,7,"45-49 "
16773,3,243,31,0,243,0,3,0,"35-39 "
16803,15,3227,39,0,0,3227,0,15,"35-39 "
17596,2,198,13,0,198,0,2,0,"25-29 "
18173,31,7178,6,1,7178,0,31,0,"25-29 "
18524,35,5033,11,1,3775,1258,22,13,"35-39 "
18821,9,4588,18,2,0,4588,0,9,"35-39 "
19545,16,3931,25,1,0,3931,0,16,"50-54 "
19750,9,939,15,2,939,0,9,0,"45-49 "
19873,14,2030,17,2,1119,911,9,5,"35-39 "
19903,16,1823,21,0,1823,0,16,0,"40-44 "
19941,1,65,9,0,65,0,1,0,">65 "
20077,14,1549,19,0,0,1549,0,14,"40-44 "
20220,105,11649,2,0,8169,3480,68,37,"40-44 "
20428,1,119,11,0,0,119,0,1,"40-44 "
20459,375,69741,2,0,49059,20682,298,77,"40-44 "
20596,22,6034,14,1,1930,4104,11,11,"25-29 "
20695,31,1494,8,1,1241,253,27,4,"35-39 "
20794,42,3839,5,1,0,3839,0,42,"40-44 "
20800,11,2388,15,0,2388,0,11,0,"35-39 "
20848,3,309,19,7,273,36,2,1,"60-64 "
20879,4,355,25,0,0,355,0,4,"35-39 "
21128,13,5369,11,0,0,5369,0,13,"30-34 "
21203,7,2614,26,0,0,2614,0,7,"45-49 "
21234,7,1958,15,0,1958,0,7,0,"40-44 "
21432,8,623,8,4,623,0,8,0,"40-44 "
21449,58,9583,5,1,0,9583,0,58,"45-49 "
21470,4,1433,4,0,0,1433,0,4,"55-59 "
21647,6,450,35,0,450,0,6,0,"40-44 "
21678,1,60,35,0,60,0,1,0,"40-44 "
21821,11,1114,11,0,0,1114,0,11,"40-44 "
21951,43,4438,8,1,4438,0,43,0,"40-44 "
22149,19,1229,5,0,0,1229,0,19,"30-34 "
22514,3,131,14,0,131,0,3,0,"35-39 "
22590,6,413,20,0,413,0,6,0,"30-34 "
22729,26,5635,39,0,0,5635,0,26,"45-49 "
22736,20,3708,13,1,2352,1356,8,12,"35-39 "
22903,1,60,32,0,0,60,0,1,"50-54 "
22927,1,60,32,0,0,60,0,1,"55-59 "
22934,8,391,5,4,248,143,5,3,"45-49 "
22996,6,645,7,4,645,0,6,0,"30-34 "
23078,44,6293,5,0,680,5613,6,38,"30-34 "
23146,11,919,32,1,0,919,0,11,"25-29 "
23207,2,85,37,0,85,0,2,0,"50-54 "
23245,12,592,19,2,0,592,0,12,"50-54 "
23351,8,1278,7,0,1278,0,8,0,"40-44 "
23474,12,775,38,0,775,0,12,0,"30-34 "
23504,3,476,21,0,476,0,3,0,"25-29 "
23535,5,910,14,0,910,0,5,0,"45-49 "
23672,35,4972,8,1,448,4524,2,33,"35-39 "
23733,4,5149,13,0,5149,0,4,0,"40-44 "
23771,6,850,5,0,0,850,0,6,">65 "
23795,27,2261,2,1,1186,1075,13,14,"55-59 "
23863,12,1102,40,0,0,1102,0,12,"35-39 "
23917,39,8103,3,0,8103,0,39,0,"45-49 "
24501,15,3377,3,2,1671,1706,2,13,"35-39 "
24518,10,1084,23,0,1084,0,10,0,"35-39 "
24532,22,1388,4,1,1224,164,18,4,"45-49 "
24594,6,1331,30,0,1331,0,6,0,"45-49 "
24662,11,16510,4,0,0,16510,0,11,"35-39 "
24730,4,928,5,0,399,529,1,3,"25-29 "
24914,2,115,18,0,0,115,0,2,"45-49 "
25058,7,3654,4,0,0,3654,0,7,"35-39 "
25096,1,396,21,0,396,0,1,0,"35-39 "
25324,4,1637,36,0,1637,0,4,0,"35-39 "
25362,24,3457,20,1,270,3187,5,19,"40-44 "
25386,2,188,17,0,188,0,2,0,"25-29 "
25515,1,60,34,0,60,0,1,0,"45-49 "
25539,10,7949,11,0,0,7949,0,10,"30-34 "
25553,15,1596,21,1,705,891,7,8,"45-49 "
25577,12,4454,17,2,4454,0,12,0,"25-29 "
25683,41,8628,2,1,8433,195,38,3,"40-44 "
25805,5,317,42,0,317,0,5,0,"30-34 "
25973,41,5553,11,1,3890,1663,25,16,"40-44 "
26000,6,16994,19,2,2270,14724,5,1,"50-54 "
26062,11,617,20,2,478,139,7,4,"40-44 "
26123,29,7932,18,0,6455,1477,24,5,"45-49 "
26260,15,1552,1,0,1552,0,15,0,"45-49 "
26307,27,2635,17,0,2635,0,27,0,"35-39 "
26321,6,404,19,3,294,110,3,3,"40-44 "
26468,10,1186,33,0,0,1186,0,10,"45-49 "
26499,11,1202,9,1,1202,0,11,0,"50-54 "
26550,60,7400,4,1,5137,2263,38,22,"35-39 "
26604,5,811,21,1,238,573,2,3,"50-54 "
26666,9,2201,34,0,2201,0,9,0,"55-59 "
26758,3,283,22,0,283,0,3,0,">65 "
26789,17,1823,31,0,1823,0,17,0,"40-44 "
26925,10,782,34,0,782,0,10,0,"45-49 "
27113,10,1045,18,0,0,1045,0,10,"50-54 "
27199,13,2114,14,1,1965,149,12,1,">65 "
27243,19,1495,11,0,375,1120,8,11,"50-54 "
27298,3,680,39,0,0,680,0,3,"55-59 "
27335,13,1364,5,3,598,766,7,6,"40-44 "
27540,26,6108,11,0,0,6108,0,26,"45-49 "
27601,11,1452,13,0,1452,0,11,0,">65 "
27632,17,1131,16,1,1131,0,17,0,"50-54 "
27908,7,4534,20,0,4534,0,7,0,"35-39 "
27946,9,7495,14,0,7495,0,9,0,"50-54 "
28516,13,858,22,0,98,760,3,10,"30-34 "
28547,24,11802,11,1,1354,10448,23,1,"40-44 "
28592,5,494,26,0,0,494,0,5,"30-34 "
28639,2,72,18,0,0,72,0,2,"30-34 "
28714,11,1192,5,0,0,1192,0,11,"45-49 "
28721,18,40673,18,1,29357,11316,9,9,"30-34 "
28769,11,1515,39,0,0,1515,0,11,"40-44 "
28899,9,1343,16,0,515,828,4,5,"25-29 "
28967,8,1117,2,0,1117,0,8,0,"50-54 "
29018,8,795,22,0,700,95,7,1,"25-29 "
29117,1,60,35,0,60,0,1,0,">65 "
29223,19,1550,16,0,1550,0,19,0,"55-59 "
29254,12,1913,5,0,0,1913,0,12,"35-39 "
29377,11,2110,4,3,1130,980,2,9,"45-49 "
29421,28,3165,11,1,2187,978,18,10,"45-49 "
29599,5,525,12,0,0,525,0,5,"40-44 "
29964,12,8441,5,3,7483,958,9,3,"35-39 "
30267,34,2168,10,0,969,1199,13,21,"35-39 "
30281,31,2638,3,1,2638,0,31,0,"40-44 "
30502,8,1232,21,0,1232,0,8,0,"40-44 "
30779,1,36,3,0,36,0,1,0,"45-49 "
30908,20,1357,14,1,1357,0,20,0,"55-59 "
31929,8,892,42,0,892,0,8,0,"35-39 "
32100,75,4726,8,0,1035,3691,12,63,"50-54 "
32674,28,3545,4,1,0,3545,0,28,"35-39 "
32827,77,9433,2,0,9125,308,70,7,"45-49 "
32896,20,3487,3,2,3487,0,20,0,"45-49 "
33091,3,1391,42,0,1391,0,3,0,"30-34 "
33107,5,167,35,0,167,0,5,0,"60-64 "
33169,5,3039,2,7,1443,1596,4,1,"60-64 "
33268,6,638,4,0,0,638,0,6,"35-39 "
33770,38,7236,19,1,2407,4829,13,25,"50-54 "
33862,16,3047,18,1,2510,537,13,3,"45-49 "
34258,40,4307,26,0,0,4307,0,40,"30-34 "
34302,2,49,13,0,49,0,2,0,"30-34 "
34845,13,16514,37,0,16514,0,13,0,"35-39 "
35460,24,4609,12,0,0,4609,0,24,"50-54 "
35996,1,85,42,0,85,0,1,0,"30-34 "
36016,26,2616,18,0,2580,36,25,1,"50-54 "
36450,9,544,10,3,544,0,9,0,"40-44 "
38317,4,233,12,8,124,109,2,2,">65 "
38355,2,212,11,0,0,212,0,2,"35-39 "
38386,5,451,19,0,0,451,0,5,">65 "
38744,6,504,32,0,0,504,0,6,"40-44 "
38782,3,240,11,0,0,240,0,3,"35-39 "
38836,12,1589,41,0,1589,0,12,0,"40-44 "
38935,22,2043,10,0,2043,0,22,0,"50-54 "
39215,7,415,16,1,293,122,5,2,"25-29 "
39505,3,699,12,0,0,699,0,3,">65 "
39550,7,1046,23,0,1046,0,7,0,"35-39 "
39642,22,3185,5,1,1964,1221,15,7,"45-49 "
39765,2,467,19,0,0,467,0,2,"30-34 "
39932,9,1935,21,2,1247,688,3,6,"55-59 "
40068,3,343,39,0,0,343,0,3,"30-34 "
40129,17,4212,6,1,4212,0,17,0,">65 "
40150,4,795,17,0,795,0,4,0,"45-49 "
40181,43,11723,10,1,10355,1368,42,1,"50-54 "
40198,21,9809,2,0,9329,480,16,5,"50-54 "
40242,24,2167,2,1,2167,0,24,0,"30-34 "
40266,15,1210,22,1,1210,0,15,0,"35-39 "
40488,16,1111,13,1,762,349,7,9,"40-44 "
40662,26,2333,4,1,1905,428,19,7,"40-44 "
40907,2,600,33,1,60,540,1,1,">65 "
41041,7,826,40,0,628,198,5,2,"40-44 "
41133,11,1041,33,0,0,1041,0,11,"40-44 "
41171,49,5649,9,1,5504,145,46,3,"35-39 "
41188,28,6002,2,0,2233,3769,19,9,"35-39 "
41263,18,2632,4,2,2010,622,12,6,">65 "
41690,43,3990,4,0,0,3990,0,43,"40-44 "
41737,42,14260,2,1,5245,9015,6,36,"40-44 "
41812,2,4304,22,0,4304,0,2,0,"30-34 "
41898,4,1670,21,0,1670,0,4,0,"45-49 "
41928,22,2277,5,2,1533,744,14,8,"35-39 "
42017,8,788,21,0,788,0,8,0,"25-29 "
42093,16,1285,13,2,1182,103,15,1,"40-44 "
42208,49,5464,6,1,5464,0,49,0,"35-39 "
42574,1,3939,12,0,0,3939,0,1,"25-29 "
42666,63,12865,7,1,4234,8631,11,52,"35-39 "
42857,6,211,29,0,211,0,6,0,"30-34 "
42918,4,363,4,0,0,363,0,4,"50-54 "
42949,4,426,12,6,378,48,2,2,"25-29 "
42963,28,3243,10,1,2351,892,24,4,"55-59 "
43113,5,564,5,0,0,564,0,5,"40-44 "
43267,1,60,34,0,60,0,1,0,">65 "
43359,8,1631,33,0,0,1631,0,8,"60-64 "
43472,86,9041,18,0,3690,5351,28,58,"35-39 "
43502,6,1613,28,2,1613,0,6,0,"35-39 "
43748,11,1558,17,2,1324,234,9,2,">65 "
43816,45,9479,13,1,2408,7071,17,28,"30-34 "
43830,5,1708,9,6,1708,0,5,0,"50-54 "
43854,16,3824,7,2,3824,0,16,0,"30-34 "
43861,11,924,4,2,29,895,1,10,"25-29 "
43915,2,119,35,0,119,0,2,0,">65 "
43991,2,1451,8,0,1451,0,2,0,">65 "
44073,3,278,35,0,278,0,3,0,"40-44 "
44363,14,2172,26,1,1110,1062,4,10,"40-44 "
44431,29,2896,4,0,0,2896,0,29,"45-49 "
44608,12,2161,19,0,0,2161,0,12,"45-49 "
44875,9,726,16,0,53,673,1,8,"35-39 "
45308,6,1148,9,0,1148,0,6,0,"25-29 "
